category,content
politics, A group of MPs are on a two-day fact-finding mission to Scotland to gather evidence for a report into the UK's fishing industry.  Members of Westminster's environment
sport, Wayne Rooney made a winning return to Everton as Manchester United cruised into the FA Cup quarter-finals.  Rooney received a hostile reception
sport, Italy skipper Marco Bortolami believes Saturday's Six Nations contest against Scotland will be a scrappy encounter.  With both sides looking for their first win of the championship
politics, It could cost £80m to run a UK referendum on the European constitution
politics," The attorney general has again denied being ""leant on"" by Downing Street to make the legal case for invading Iraq.  Claims a written answer on the legality of the war was drafted by Downing Street were ""wholly unfounded"
tech, Fast web access is encouraging more people to express themselves online
business, The US stock market watchdog's chairman has said he is willing to soften tough new US corporate governance rules to ease the burden on foreign firms.  In a speech at the London School of Economics
politics, The top civil servant at the centre of the David Blunkett visa affair has been knighted in the New Year Honours.  Sir John Gieve was Home Office permanent secretary during the saga which ended with Mr Blunkett quitting. He and other civil servants were criticised for failing to recall how the visa for Mr Blunkett's ex-lover's nanny came to be fast-tracked. The outgoing head of the troubled Child Support Agency Doug Smith also earns an honour in the New Year's list. Mr Smith
sport," Carlos Moya described Spain's Davis Cup victory as the highlight of his career after he beat Andy Roddick to end the USA's challenge in Seville.  Moya made up for missing Spain's 2000 victory through injury by beating Roddick 6-2 7-6 (7-1) 7-6 (7-5) to give the hosts an unassailable 3-1 lead. ""I have woken up so many nights dreaming of this day"
business, Chancellor Gordon Brown has been given a £2.1bn boost in his attempts to meet his golden economic rule
business, Germany's economy shrank 0.2% in the last three months of 2004
tech, Net browser Opera 8.0
business, Oil giant BP has announced a 26% rise in annual profits to $16.2bn (£8.7bn) on the back of record oil prices.  Last week
politics, UK Muslims should accept that people of Islamic appearance are more likely to be stopped and searched by police
politics, So what is the gap between Labour and the Tories nowadays?  One Starbucks
politics, A Conservative MP and former minister has defected to Labour.  Robert Jackson
tech," Movies Open Water and Saw are among those to be made available for Sony's PSP games console.  Film studio Lions Gate entertainment has announced an initial list of 12 movies that will be on the UMD format used by the handheld. ""The typical buyer of the machine [is] the core demographic to whom our films generally appeal"
sport," Sir Bobby Robson has offered Chelsea boss Jose Mourinho some advice on coping under pressure.  The pair worked together at Barcelona and Porto and Robson had a word of warning for his protege. ""It has all gone for him just lately and that is marvellous"
business, Oil prices have fallen heavily for a second day
business, More than 2
tech, A Scottish firm is looking to attract web surfers with a search engine that reads out results.  Called Speegle
tech, Gambling is hugely popular
entertainment, The last film to be made by the slain Dutch director Theo van Gogh
entertainment, The comedy Sideways has dominated this year's Independent Spirit Awards
sport, Marat Safin suffered a shock loss to unseeded Nicolas Kiefer in round one of the Dubai Tennis Championships.  Playing his first match since winning the Australian Open
tech, Nintendo is releasing an adapter for its DS handheld console so it can play music and video.  The add-on for the DS means people can download TV programmes
politics," Tony Blair has dismissed reports he told Gordon Brown he would quit before the next general election.  ""You don't do deals over jobs like this"
tech, Asia is set to drive global media growth to 2008 and beyond
sport, Top seed Lindsay Davenport booked her place in the last 16 of the Australian Open with a convincing 6-2 6-4 win over Nicole Vaidisova of the Czech Republic.  The American had too much power for her 15-year-old opponent
sport," Ulster scrum-half Kieran Campbell is one of five uncapped players included in Ireland's RBS Six Nations squad.  Campbell is joined by Ulster colleagues Roger Wilson and Ronan McCormack along with Connacht's Bernard Jackman and Munster's Shaun Payne. Gordon D'Arcy is back after injury while Munster flanker Alan Quinlan also returns to international consideration. ""The squad is selected purely on form. A lot of players put their hands up"
entertainment, The creator of defunct TV soap Brookside has written to the culture minister to offer to buy Channel 4.  Phil Redmond
entertainment, A controversial film starring Hollywood actor Kevin Bacon as a convicted paedophile won top honours at the London Film Festival on Thursday.  The Woodsman won the Satyajit Ray Award
entertainment, A total of 267 films are eligible for the best film Oscar but only five will be chosen to go forward as nominees.  The Academy of Motion Picture
tech, If you are a geek or gadget fan
tech, Microsoft has warned PC users to update their systems with the latest security fixes for flaws in Windows programs.  In its monthly security bulletin
sport, Cheslea salvaged a win against a battling Portsmouth side just as it looked like the Premiership leaders would have to settle for a point.  Arjen Robben curled in a late deflected left-footed shot from the right side of Pompey's box to break the home side's brave resistance. Chelsea had been continually frustrated but Joe Cole added a second with a 20-yard shot in injury-time. Nigel Quashie had Pompey's best chance when his effort was tipped over. The Fratton Park crowd were in good voice as usual and
sport, Six Chris Paterson penalties gave Scotland victory in a dour but clinical encounter against Italy at Murrayfield.  Coach Matt Williams' side were outmuscled and outplayed in a tense first half but led 6-3 at the break. Paterson slotted four more second-half penalties and Scotland were denied a try when wing Sean Lamont's touchdown was ruled out for a forward pass. A late Andrea Masi try was small consolation for Italy
politics," Two of Britain's big trade unions could merge to form a ""super union"" of two million members.  The move by Amicus and the Transport and General Workers Union (TGWU) would be a seen as a bid to carry more weight with ministers and employers. Amicus has 1.2 million members and the TGWU has 800"
tech, Owners of some Nokia smartphones are being warned to watch out for malicious wallpaper.  Those downloading the software could find all the icons on their 7610 phone swapped for images of skulls. When installed the malicious program also locks many of the 7610's functions making it hard to use and harder to repair. The program is only the latest in a series of viruses produced to attack mobile phones.  The file
politics, The government will only hit its target for improving adult maths and literacy skills if courses are made more attractive
entertainment, The National Gallery
tech, Cash machine networks could soon be more susceptible to computer viruses
entertainment, A book about the evolution of mutants and the science of abnormality has won the Guardian First Book Award 2004.  Armand Marie Leroi
sport, Brian Moore believes the England captain should not be a full-back.  Jason Robinson has led the team during their opening three defeats in the Six Nations tournament
sport," Nottingham Forest have confirmed they have received an £8m bid from Tottenham for Andy Reid and Michael Dawson.  Reid rejected a move to Southampton after Forest accepted a cash-plus-players offer while Spurs had made previous bids for the 22-year-old. Spurs had also made an undisclosed offer for 21-year-old defender Dawson. Forest chief executive Mark Arthur said: ""We've received an £8m bid from Spurs for the two players and we're considering the offer."" Southampton's offer for Republic of Ireland international Reid comprised £3m-plus and two players - Brett Ormerod and Darren Kenton.  Spurs had seen previous bids of £3m"
tech, The BBC and the National Theatre have led the field at this year's Interactive Bafta awards.  The National Theatre's Stagework website picked up the prize for best learning as well as top factual site. The BBC collected three awards
business, Rising oil prices and the sinking dollar hit shares on Monday after a finance ministers' meeting and stern words from Fed chief Alan Greenspan.  The London FTSE fell 0.8% while Tokyo's Nikkei 225 dropped 2.11%
business, The French economy picked up speed at the end of 2004
business," Deutsche Boerse bosses have held ""constructive"
business, The world's biggest tobacco consumer
sport," Kenya's athletics body has suspended two-time London Marathon runner-up Susan Chepkemei from all competition until the end of the year.  Athletics Kenya (AK) issued the ban after Chepkemei failed to turn up for a cross country training camp in Embu. ""We have banned her from all local and international competitions"
sport, Munster's Heineken Cup quarter-final tie against Biarritz on 3 April has been switched to Real Sociedad's Paseo de Anoeta stadium in San Sebastian.  Real's ground holds 32
sport, Greek sprinters Kostas Kenteris and Katerina Thanou are expected to find out on Wednesday if they will be banned for missing drugs tests this summer.  The International Association of Athletics Federations (IAAF) council held a conference call on Tuesday and are set to announce their decision. Kenteris and Thanou could be suspended for up to two years. The duo withdrew from the Olympics after missing a test but claimed they had suffered a motorcycle crash. The Greek authorities have also brought criminal charges against the sprinters for avoiding a drugs test and faking an accident. Their former coach Christos Tzekos is also facing charges and all three are awaiting a trial date.  However
business, Russian oil company Yukos has dropped the threat of legal action against five banks it had accused of involvement in the sale of its key Yugansk unit.  State-owned Rosneft bought the unit for $9.3bn (£5bn) after Yukos was forced to sell assets to meet a $27.5bn tax bill. Yukos says the sale was illegal and is pursuing damages in a US court. Its lawyers now accept ABN Amro
entertainment, A US musicologist has recreated a lost musical score by German composer Johann Sebastian Bach.  The 1728 composition
politics," A prospective candidate for the UK Independence Party (UKIP) has resigned after admitting a ""brief attachment"" to the British National Party(BNP).  Nicholas Betts-Green"
sport, Number eight Imanol Harinordoquy has been dropped from France's squad for the Six Nations match with Ireland in Dublin on 12 March.  Harinordoquy was a second-half replacement in last Saturday's 24-18 defeat to Wales. Bourgoin lock Pascal Pape
sport, Mark Lewis-Francis says his Olympic success has made him determined to bag World Championship 100m gold in 2005.  The 22-year-old pipped Maurice Greene on the last leg of the 4x100m relay in Athens to take top honours for Team GB. But individually
politics, The prime minister has defended measures to allow house arrest without trial
entertainment, Movie stars from across the globe are attending this year's Bafta film award ceremony.  British stars Imelda Staunton and Clive Owen are hoping for awards at the Odeon in London's Leicester Square. Hollywood stars Leonardo diCaprio
business, Venezuela is to review all foreign investment in its mining industries in an effort to strengthen its indigenous industrial output.  President Hugo Chavez has ordered all existing contracts with foreign firms to be examined to see if they provide maximum benefits to the country. The review will cover production of gold
tech, Technology firms Sony
sport," Kim Clijsters has denied reports that she has pulled out of January's Australian Open because of her persistent wrist injury.  Open chief Paul McNamee had said: ""Kim's wrist obviously isn't going to be rehabilitated."" But her spokesman insisted she had simply delayed submitting her entry. ""The doctors are assessing her injury on a weekly basis and if there is no risk she could play. But if there's the least risk she will stay away."" Despite being absent from the WTA entry list for the tournament"
business, The US looks set for a continued boost to interest rates in 2005
sport," Kelly Holmes has been chosen for both the 800m and 1500m at next month's European Indoor Championships - despite not yet confirming her availability.  The double-Olympic champion is still undecided about whether to compete in her first European Indoors in Madrid. But UK Athletics chief Max Jones believes it is likely Holmes will race. He said: ""It's worth a punt"
entertainment, Music producer Phil Spector is facing legal action from the mother of the actress he has been accused of killing.  Donna Clarkson
entertainment, Conductor Marcello Viotti
politics, Tony Blair promised Gordon Brown he would stand down before the next election
business, India's biggest carmaker Maruti has reported a sharp increase in quarterly profit after a booming economy and low interest rates boosted demand.  Net profit surged 70% to 2.39bn rupees ($54.98m; £29.32m) in the last three months of 2004 compared with 1.41bn rupees a year earlier. Total sales were 30.1bn rupees
sport, Chelsea winger Arjen Robben has broken two metatarsal bones in his foot and will be out for at least six weeks.  Robben had an MRI scan on the injury
politics, Ex-chat show host Robert Kilroy-Silk is to contest the Derbyshire seat of Erewash at the next general election.  Labour's Elizabeth Blackman won the seat in 1997 and has a 6
politics, Charles Clarke faces his first real test as home secretary on Monday with a possible backbench rebellion over the controversial ID cards bill.  Up to 30 Labour MPs could oppose the scheme during a Commons debate. Mr Clarke
tech, Analyst Bill Thompson has seen the future and it is in his son's hands.  I bought my son Max a 3G phone
business, Yukos will return to a US court on Wednesday to seek sanctions against Baikal Finance Group
sport, Real Madrid and Real Socieded will play the final six minutes of their match
entertainment, Clint Eastwood's Million Dollar Baby beat Martin Scorsese's The Aviator to the top awards at the Oscars on Sunday.  The boxing drama was named best picture and Eastwood pipped Scorsese to best director
entertainment, Conductor Marcello Viotti
politics, Former civil service chief Lord Butler has criticised the way Tony Blair's government operates
politics, UK airport operator BAA has reiterated its support for the government's aviation expansion plans to airports throughout the country.  The comments come a day ahead of a High Court challenge by residents' groups and local councils to the government's White Paper. The judicial review will centre on government plans for expansion at Heathrow
tech, The makers of computer programs that secretly spy on what people do with their home PCs could face hefty fines in California.  From 1 January
business, Shares in UK drinks and food firm Allied Domecq have risen on speculation that it could be the target of a takeover by France's Pernod Ricard.  Reports in the Wall Street Journal and the Financial Times suggested that the French spirits firm is considering a bid
politics," Ex-Home Secretary David Blunkett has given fresh clues that the general election will be announced on Monday.  He told BBC Radio Five Live: ""I'm out in my constituency getting ready for what we presume will be an announcement very shortly at the weekend."" He clarified that he meant he would be in his Sheffield seat this weekend"
entertainment," Three Degrees star Sheila Ferguson is the favourite to be evicted from ITV's I'm A Celebrity... Get Me Out Of Here on Monday.  Bookmakers Ladbrokes says the singer has even odds of being the first contestant to be voted off the show. ""It's going to be close but Sheila is favourite as she has shown herself to be a bit of a troublemaker"
entertainment, Actor Christian Slater is stepping into the role of Tom in the Broadway revival of The Glass Menagerie.  Slater
business, India
business, Anil Ambani
entertainment, Robert De Niro has completed a transatlantic box office double by topping the UK and US film charts with two different films at the same time.  Comedy sequel Meet the Fockers
politics, Immigration and asylum have normally been issues politicians from the big parties have tiptoed around at election time.  But no longer. Both Labour and the Tories have signalled their intention of making them central to their election campaigns. They have been struck by the level of concern amongst voters about the issues
business, Circuit City Stores
entertainment, The Oscars nominations list has left out some of the most controversial films of the past year in favour of safer
business, UK house prices dipped slightly in November
business, The Trades Union Congress (TUC) is calling on the government to stem job losses in manufacturing firms by reviewing the help it gives companies.  The TUC said in its submission before the Budget that action is needed because of 105
tech, Spam traffic is up by 40%
sport, Former England captain Lawrence Dallaglio still harbours hopes of a place on the British and Irish Lions tour to New Zealand.  Lions coach Sir Clive Woodward has made it clear he will pick his squad to tour next summer based on form shown in the Six Nations championship. But Dallaglio
politics, Peace protestors have lost a landmark appeal over police actions in stopping an anti-war demonstration days after the start of the Iraq war.  They had appealed against a High Court decision that it was not unlawful for police to forcibly turn protestors away near RAF Fairford
sport, Wales have a clutch of injury worries before Wednesday's international friendly against Hungary in Cardiff.  West Ham's Gavin Williams (ankle) looks certain to be out
politics, Thousands of public bodies are ill-prepared for the Freedom of Information Act
sport, Tom Shanklin will start in the centre for Wales against England in Cardiff on Saturday after Sonny Parker failed to recover from a trapped neck nerve.  Shanklin was first-choice wing in the autumn Tests
sport, Martina Hingis makes her return to competitve tennis after two years out of the game at the Volvo Women's Open in Pattaya
tech, Software giant Microsoft is taking the plunge into the world of blogging.  It is launching a test service to allow people to publish blogs
entertainment, Animated movie Robots has opened at the top of the US and Canada box office chart
tech, The 'bad behaviour' of e-mail users is helping to sustain the spam industry
politics, Tony Blair should set out a proper exit strategy from Iraq in the wake of next Sunday's elections in the country
sport, Tottenham are primed to snap up Iceland Under-21 international Emil Hallfredsson after he impressed on trial at White Hart Lane.  The 20-year-old midfielder
tech, An increasing number of firms are offering web storage for people with digital photo collections.  Digital cameras were the hot gadget of Christmas 2004 and worldwide sales of the cameras totalled $24bn last year. Many people's hard drives are bulging with photos and services which allow them to store and share their pictures online are becoming popular. Search firms such as Google are also offering more complex tools for managing personal photo libraries. Photo giants such as Kodak offer website storage which manages photo collections
entertainment, Comedy Meet The Fockers has held on to the number one spot at the North American box office for a second week.  It took $42.8m (£23.7m) at the weekend
entertainment," Postcards by artists including Damien Hirst and Tracey Emin have sold just hours after the opening of the Royal Academy of Arts annual Secrets sale.  The identity of the artist remains unknown until each work is bought and the signature is revealed on the back. ""There are still some big names left"
entertainment, Minority ethnic led (Mel) production companies face barriers in succeeding in the film and television industries
entertainment, Novelist Arthur Hailey
sport, Southampton's David Prutton faces a possible seven-match ban when he goes before the Football Association.  The 23-year-old has admitted two charges of improper conduct following his dismissal against Arsenal. The first charge relates to his failure to leave the field promptly
politics, British voters would reject the European constitution by two to one
politics, Tony Blair is likely to name 5 May as election day when Parliament returns from its Easter break
sport, Daniela Hantuchova moved into the quarter-finals of the Dubai Open
entertainment," MTV has been criticised for ""incessant sleaze"" by television indecency campaigners in the US.  The Parents Television Council (PTC)"
entertainment, Organisers say this year's Berlin Film Festival
politics, Two days of talks on the future of Gibraltar begin at Jack Straw's country residence later on Wednesday.  Officials at the two-day summit at the foreign secretary's official Kent house
entertainment, Quirky comedy Sideways was named the best film of the year by the Los Angeles Film Critics Association.  The US movie also picked up four other accolades including best director for Alexander Payne and supporting actor for Thomas Haden Church. British actress Imelda Staunton has again been recognised for her role in Vera Drake
tech, A new European directive could put software writers at risk of legal action
politics, Gordon Brown has called on rich nations to fund a £5.5bn ($10bn) plan to fight the Aids epidemic and find a vaccine.  On the fourth day of his six-day tour of Africa
sport, Former world number one Juan Carlos Ferrero insists he can get back to his best despite a tough start to 2005.  The 2003 French Open champion has slipped to 64 in the world after a year of illness and injuries in 2004
tech, The number of personal computers worldwide is expected to double by 2010 to 1.3 billion machines
business, Laura Ashley is parting company with its chief executive Ainum Mohd-Saaid.  The clothing and home furnishing retailer said Ms Mohd-Saaid had resigned for personal reasons. Her departure will come into effect on 1 February and follows the departure of co-chief executive Rebecca Navarednam on 1 January. Ms Mohd-Saaid is to be replaced by Lillian Tan
politics, Tony Blair has launched an attack on Conservative spending plans
sport, Sonia O'Sullivan will seek to regain her title at the Bupa Great Ireland Run on 9 April in Dublin.  The 35-year-old was beaten into fourth at last year's event
sport," Adriano's agent Gilmar Rinaldi has insisted that he has had no contact with Chelsea over the striker.  Chelsea were reported to have made inquiries about Inter Milan's 22-year-old Brazilian star. Rinaldi told BBC Sport from Rio de Janeiro: ""I can assure you that Chelsea have had no dealings whatsoever with either me or Adriano. ""Parma and Real Madrid are interested but there's nothing new there. Their interest has been known for some time."" Adriano has scored 14 goals in 20 Serie A appearances this season. And Chelsea boss Jose Mourinho had claimed that he was in Milan talking to Adriano on the day he is alleged to have held a clandestine meeting with Arsenal defender Ashley Cole. Mourinho said he was ""just practising my Portuguese with him because I don't need strikers"". Rinaldi told BBC Sport: ""I have to say that nobody from Chelsea or any other London club has contacted me. ""If they want to"
sport," Joint assistant boss Stuart Pearce has admitted he would like to succeed Kevin Keegan as manager at Manchester City.  Keegan has decided to step down as City manager when his contract comes to an end in 18 months. ""You don't have to be Einstein to realise there will be a manager's job available at a really good club"
business, The government of Nigeria is hoping to triple cocoa production over the next three years with the launch of an ambitious development programme.  Agriculture Minister Adamu Bello said the scheme aimed to boost production from an expected 180
entertainment, Digital music downloads are being included in the main US singles chart for the first time.  Billboard's Hot 100 chart now incorporates data from sales of music downloads
entertainment, Screenwriter and producer Debra Hill
business, The Japanese economy has officially gone back into recession for the fourth time in a decade.  Gross domestic product fell by 0.1% in the last three months of 2004. The fall reflects weak exports and a slowdown in consumer spending
business, Spending on credit and debit cards has overtaken cash spending in the UK for the first time.  The moment that plastic finally toppled cash happened at 10.38am on Wednesday
tech," An Indian telecommunications firm has turned to lasers to help it overcome the problems of setting up voice and data networks in the country.  Tata Teleservices is using the lasers to make the link between customers' offices and its own core network. The laser bridges work across distances up to 4km and can be set up much faster than cable connections. In 12 months the lasers have helped the firm set up networks in more than 700 locations.  ""In this particular geography getting permission to dig the ground and lay the pipes is a bit of a task"
politics," A ""taxpayer subsidised propaganda exercise"" on the EU is being used to lull the British public into a false sense of security"
entertainment, Johnny Depp
sport," World outdoor triple jump record holder and BBC pundit Jonathan Edwards believes Phillips Idowu can take gold at the European Indoor Championships.  Idowu landed 17.30m at the British trials in Sheffield last month to lead the world triple jump rankings. ""It's all down to him"
politics, George W Bush will display a more consensual approach to world politics as he begins his second term as US President
business, Shares in Elan and Biogen Idec plunged on Monday as the firms suspended sales of new multiple sclerosis drug Tysabri after a patient's death in the US.  On the New York Stock Exchange
tech," Robots are learning lessons on ""robotiquette"" - how to behave socially - so they can mix better with humans.  By playing games"
business, US industrial production continued to rise in November
sport," The Football Association has said it will not be bringing charges over the tunnel incident prior to the Arsenal and Manchester United game.  Arsenal's Patrick Vieira had earlier denied accusations that he threatened Gary Neville before the 4-2 defeat. Vieira also clashed with opposing skipper Roy Keane and referee Graham Poll had to separate them. ""The referee has confirmed that he is satisfied he dealt with the incident at the time"
politics," Labour and the Tories have clashed over tax and spending plans as the row over Gordon Brown's Budget turned into a full scale pre-election battle.  Tony Blair claimed a Tory government would ""cut"" £35bn from public services hitting schools"
politics," The Conservatives' campaign director has denied a report claiming he warned Michael Howard the party could not win the next general election.  The Times on Monday said Australian Lynton Crosby told the party leader to focus on trying to increase the Tories' Commons presence by 25 to 30 seats. But Mr Crosby said in a statement: ""I have never had any such conversation... and I do not hold that view."" Mr Howard later added there was not ""one iota"" of truth in the report. The strategist helped Australia's PM"
tech, Viewers could soon be rewarded for watching TV as loyalty cards come to a screen near you.  Any household hooked up to Sky could soon be using smartcards in conjunction with their set-top boxes. Broadcasters such as Sky and ITV could offer viewers loyalty points in return for watching a particular channel or programme. Sky will activate a spare slot on set-top boxes in January
politics, Citizenship ceremonies could be introduced for people celebrating their 18th birthday
sport, Fifa president Sepp Blatter hopes Arsenal's Thierry Henry will be named World Player of the Year on Monday.  Henry is on the Fifa shortlist with Barcelona's Ronaldinho and newly-crowned European Footballer of the Year
tech, So-called phishing attacks that try to trick people into handing over confidential details have boomed in 2004
sport," Disgraced former Chelsea striker Adrian Mutu is to begin talks with Juventus as he looks for a new club.  ""Mutu will be in our club's main stand to watch the match between Juventus and Fiorentina"
entertainment, The Producers has beaten Mary Poppins in the battle of the blockbuster West End musicals at the Olivier Awards.  The Producers won three prizes at the UK's most prestigious annual theatre awards
business, The nuclear unit of Russian energy giant Gazprom is reportedly facing a 1bn rouble ($35.7m; £19.1m) back-tax claim for the 2001-2003 period.  Vedomosti newspaper reported that Russian authorities made the demand at the end of last year. The paper added that most of the taxes claimed are linked to the company's export activity. Gazprom
sport, France coach Bernard Laporte believes his team will be scared going into their game with England on Sunday
entertainment, Comedy Meet The Fockers topped the festive box office in North America
politics, Tony Blair is to join Home Secretary David Blunkett in a visit to Sheffield on Thursday.  Mr Blunkett's conduct is being looked at to establish whether he abused his position in relation to his ex-lover. The Parliamentary standards watchdog is looking at his decision to give Kimberly Quinn free rail tickets. He is also being investigated over the visa application of Mrs Quinn's ex-nanny. The visit to Sheffield will be seen as a show of unity by Mr Blair.  On Wednesday during Prime Minister's Questions
business, British Airways has blamed high fuel prices for a 40% drop in profits.  Reporting its results for the three months to 31 December 2004
business, Air passengers who are unable to board their flights because of overbooking
entertainment, The West End is honouring its finest stars and shows at the Evening Standard Theatre Awards in London on Monday.  The Producers
sport," Arsenal's Sol Campbell has called the rivalry between Manchester United and the Gunners ""bitter and personal"".  Past encounters have stirred up plenty of ill-feeling between the sides and they meet again at Highbury on Tuesday. ""It is just more bitter and personal against United"
tech, Consumers are very concerned about the use of radio frequency ID (RFID) tags in shops
politics, Deals are being sought to allow the UK to deport terror suspects to their home countries without risk of them being tortured or sentenced to death.  Home Secretary Charles Clarke told the Times he hoped agreement with several countries could be reached. The move follows a Law Lords judgement that the detention of 12 men at Belmarsh prison
entertainment," A US TV network is editing BBC Films' Dirty War to avoid showing the front of a nude woman being scrubbed down after a fictional chemical attack.  It is not worth showing ""non-essential"" nude scenes when indecency complaints are ""aggressively pursued"" by US TV watchdogs"
tech, The body that oversees how the net works
business, Taxpayers may have to bail out the US agency that protects workers' pension funds
politics, Scientists have expressed concerns that new education secretary Ruth Kelly's religious views could hamper vital scientific research.  Ms Kelly
business, South Korea's Hyundai Motor has announced that it plans to build a second plant in India to meet the country's growing demand for cars.  The company didn't give details of its investment but it said the new plant would produce 150
sport, Newcastle have fined their Welsh striker Craig Bellamy two weeks' wages - about £80
sport," Manchester United striker Ruud van Nistelrooy may make his comeback after an Achilles tendon injury in the FA Cup fifth round tie at Everton on Saturday.  He has been out of action for nearly three months and had targeted a return in the Champions League tie with AC Milan on 23 February. But Manchester United manager Sir Alex Ferguson hinted he may be back early. He said: ""There is a chance he could be involved at Everton but we'll just have to see how he comes through training."" The 28-year-old has been training in Holland and Ferguson said: ""Ruud comes back on Tuesday and we need to assess how far on he is. ""The training he has been doing in Holland has been perfect and I am very satisfied with it."" Even without Van Nistelrooy"
tech, The real danger is not what happens to your data as it crosses the net
sport, Wales centre Sonny Parker and number eight Ryan Jones will miss Saturday's game with Italy because of injury.  Parker has not recovered from a trapped nerve in his neck that kept him out of the win over England
politics, The government has written to two of the British men freed from Guantanamo Bay telling them they will not be allowed passports.  A letter sent to Martin Mubanga said his British passport would not be issued in the light of evidence gathered against him by the US. This suggested he was likely to take part in action against UK or allied targets if he left Britain
politics," Tony Blair has told Labour supporters he's ""back"" and still hungry for the job of prime minister - but does that sum up the mood at the party's spring conference in Gateshead?  ""The electorate are keener on the government than some Labour Party members"
politics,
politics," Downing Street has confirmed British troops are on standby in case they need to help evacuate several hundred UK citizens from Ivory Coast.  The news came as it emerged France had begun evacuating its hostages after days of anti-French demonstrations. Trouble flared after nine French peacekeepers were killed and President Jacques Chirac ordered the destruction of the Ivory Coast's air force. A company of 100-120 UK troops is understood to have been put on standby. They are ready to fly out and secure the route from the embassy to the airport if called upon. Prime Minister Tony Blair's official spokesman said: ""There are British nationals in Ivory Coast and as you can imagine we are making the usual contingency plans in case the situation deteriorates further"
sport," Simon Taylor has been named in the Scotland squad for Saturday's Six Nations clash with Italy.  The 25-year-old number eight made a scoring return for Edinburgh at the weekend - his first game in a year for the capital side. Taylor suffered knee ligament damage playing against Ireland in Dublin in the 2004 Six Nations championship. ""Simon is one of Scotland's truly world class players so it is a huge bonus"
politics, Anglers and fishermen could find themselves prosecuted under plans to crack down on animal cruelty
sport," Long jumper Chris Tomlinson has cut his schedule to ensure he is fully fit for the European Indoor Championships.  The 23-year-old has a minor injury and has pulled out of international meets in Madrid and Lievin this week as well as warm-weather training in Lanzarote. ""It's nothing serious"
business, Shares in Cairn Energy rose 3.8% to 1
business, Japanese industrial output fell in October while unemployment rose
entertainment, Film stars from across the globe are preparing to walk the red carpet at this year's Bafta award ceremony.  The 2005 Orange British Academy Film Awards are being held at The Odeon in London's Leicester Square. A host of Hollywood stars
entertainment, Oscar-winner Andrea Arnold has been congratulated by the UK Film Council
business, Former Worldcom boss Bernie Ebbers
business, Irishmen JP McManus and John Magnier
entertainment, Organisers say this year's Berlin Film Festival
business, A US defence and telecommunications company has agreed to pay $28.5m after admitting bribery in the West African state of Benin.  The Titan corporation was accused of funnelling more than $2m into the 2001 re-election campaign of President Mathieu Kerekou. At the time
sport,
business, The owner of the technology-dominated Nasdaq stock index plans to sell shares to the public and list itself on the market it operates.  According to a registration document filed with the Securities and Exchange Commission
business, A shareholder in US phone firm MCI has taken legal action to halt a $6.75bn (£3.6bn) buyout by telecoms giant Verizon
sport, Scotland manager Walter Smith has given his backing to the reinstatement of the Home International series.  Such a plan is to be proposed by the new chief executive of the Northern Irish FA
politics, Political parties cannot afford to take older UK voters for granted in the coming election
business," India's defence minister has opened the country's Aero India 2005 air show with an invitation for global aerospace firms to outsource jobs to the nation.  Pranab Mukherjee said such companies could take advantage of India's highly skilled workers and low wages. More than 240 civil and military aerospace firms from 31 countries are attending the show. Analysts said India could spend up to $35bn (£18.8bn) in the aviation market over the next 20 years. Giants such Boeing and Airbus - on the civil aviation front - as well as Lockheed Martin and France's Snecma - on the military side - are some of the firms attending the show. ""There is tremendous scope for outsourcing from India in areas where the companies are competitive"
tech, The European Parliament has thrown out a bill that would have allowed software to be patented.  Politicians unanimously rejected the bill and now it must go through another round of consultation if it is to have a chance of becoming law. During consultation the software patents bill could be substantially re-drafted or even scrapped. The bill was backed by some hi-tech firms
sport, Newcastle's teenage centre Mathew Tait has been named as a centre in England's team to face Wales in the Six Nations opener in Cardiff on Saturday.  The 18-year-old will play alongside Falcons' team-mate Jamie Noon in England's midfield. Scrum-half Matt Dawson is also recalled
sport, Larne's teenage star Robbie Weir is poised to join Sunderland after turning down a move to Stoke City.  The 17-year-old Irish League midfielder was also being chased by Rangers and Fulham
business, Shares in storage and delivery firm Exel closed up 9% at a two-and-a-half year high on Tuesday on speculation it is to receive an imminent takeover bid.  The talk in the City is that US giant United Parcel Services (UPS) is the most likely bidder for the firm. Yet other names mentioned in connection to buying Exel are DHL-owner Deutsche Post and finance firm GE Capital. With its shares closing Tuesday at 873p
sport, Andre Agassi put in an erratic display before edging into the fourth round of the Australian Open with victory over Taylor Dent.  The 34-year-old American
entertainment, Spider-Man creator Stan Lee is to get a multi-million dollar windfall after winning a court battle with comic book company Marvel.  A judge has upheld Lee's demand for 10% of Marvel's profits from the hugely successful Spider-Man films. Spider-Man and its sequel made $1.6bn (£857m) at box offices worldwide. Of the cut now due to Lee
sport," England coach Andy Robinson insisted he was ""livid"" after his side were denied two tries in Sunday's 19-13 Six Nations loss to Ireland in Dublin.  Mark Cueto's first-half effort was ruled out for offside before the referee spurned TV replays when England crashed over in the dying minutes. ""[I'm] absolutely spitting. I'm livid. There's two tries we've been cost"
